"stim_left","stim_right","audio","stim_lev","vol","left","right","stim","Hz","categorie","Setting_loop.thisRepN","Setting_loop.thisTrialN","Setting_loop.thisN","Setting_loop.thisIndex","Text_loop.thisRepN","Text_loop.thisTrialN","Text_loop.thisN","Text_loop.thisIndex","Br_distance_loop.thisRepN","Br_distance_loop.thisTrialN","Br_distance_loop.thisN","Br_distance_loop.thisIndex","Training_loop.thisRepN","Training_loop.thisTrialN","Training_loop.thisN","Training_loop.thisIndex","Training_trials_loop.thisRepN","Training_trials_loop.thisTrialN","Training_trials_loop.thisN","Training_trials_loop.thisIndex","Stimulation_loop.thisRepN","Stimulation_loop.thisTrialN","Stimulation_loop.thisN","Stimulation_loop.thisIndex","Stimulation_level_loop.thisRepN","Stimulation_level_loop.thisTrialN","Stimulation_level_loop.thisN","Stimulation_level_loop.thisIndex","Match_level_loop.thisRepN","Match_level_loop.thisTrialN","Match_level_loop.thisN","Match_level_loop.thisIndex","Block_ab_loop.thisRepN","Block_ab_loop.thisTrialN","Block_ab_loop.thisN","Block_ab_loop.thisIndex","Istr_nh_loop.thisRepN","Istr_nh_loop.thisTrialN","Istr_nh_loop.thisN","Istr_nh_loop.thisIndex","Trials_nh_loop.thisRepN","Trials_nh_loop.thisTrialN","Trials_nh_loop.thisN","Trials_nh_loop.thisIndex","Istr_nb_loop.thisRepN","Istr_nb_loop.thisTrialN","Istr_nb_loop.thisN","Istr_nb_loop.thisIndex","Trials_nb_loop.thisRepN","Trials_nb_loop.thisTrialN","Trials_nb_loop.thisN","Trials_nb_loop.thisIndex","Block_cd_loop.thisRepN","Block_cd_loop.thisTrialN","Block_cd_loop.thisN","Block_cd_loop.thisIndex","Istr_hn_loop.thisRepN","Istr_hn_loop.thisTrialN","Istr_hn_loop.thisN","Istr_hn_loop.thisIndex","Trials_hn_loop.thisRepN","Trials_hn_loop.thisTrialN","Trials_hn_loop.thisN","Trials_hn_loop.thisIndex","Istr_bn_loop.thisRepN","Istr_bn_loop.thisTrialN","Istr_bn_loop.thisN","Istr_bn_loop.thisIndex","Trials_bn_loop.thisRepN","Trials_bn_loop.thisTrialN","Trials_bn_loop.thisN","Trials_bn_loop.thisIndex","Arousal_loop.thisRepN","Arousal_loop.thisTrialN","Arousal_loop.thisN","Arousal_loop.thisIndex","Valence_loop.thisRepN","Valence_loop.thisTrialN","Valence_loop.thisN","Valence_loop.thisIndex","thisRow.t","notes","SETTING.started","SETTING.stopped","R_SET.started","R_SET.stopped","L_SET.started","L_SET.stopped","TEXT_SET.started","TEXT_SET.stopped","position.left","position.right","BR_SET.started","BR_SET.stopped","ISTR_TRAINING.started","ISTR_TRAINING.stopped","FIXATION.started","FIXATION.stopped","TRIAL_TRAINING.started","trial_training_l_img.started","trial_training_r_img.started","trial_training_kb.started","trial_training_l_img.stopped","trial_training_r_img.stopped","trial_training_kb.stopped","TRIAL_TRAINING.stopped","trial_training_kb.keys","trial_training_kb.rt","trial_training_kb.duration","BLACK_SCREEN.started","BLACK_SCREEN.stopped","extra_training.started","extra_training_kb.started","extra_training.stopped","extra_training_kb.keys","extra_training_kb.rt","extra_training_kb.duration","FACIAL_STIMULATION.started","FACIAL_STIMULATION.stopped","STIMULATION_LEVEL.started","stimulation_level_wav.started","stimulation_level_wav.stopped","STIMULATION_LEVEL.stopped","PAUSE.started","pause_txt.started","pause_txt.stopped","PAUSE.stopped","NEUTRAL_MATCHING.started","NEUTRAL_MATCHING.stopped","MATCH_LEVEL.started","match_level_wav.started","match_level_wav.stopped","MATCH_LEVEL.stopped","amplitude_5hz","EXPERIMENT.started","EXPERIMENT.stopped","ISTR_NB.started","ISTR_NB.stopped","TRIALS.started","trial_r_img.started","trial_l_img.started","trial_kb.started","trial_wav.started","trial_r_img.stopped","trial_l_img.stopped","trial_kb.stopped","TRIALS.stopped","trial_kb.keys","trial_kb.rt","trial_kb.duration","SWITCH.started","SWITCH.stopped","BREAK.started","half_break_left.started","kb_half_break.started","BREAK.stopped","kb_half_break.keys","kb_half_break.rt","kb_half_break.duration","ISTR_NH.started","nh_r_img.started","nh_l_img.started","ISTR_NH.stopped","ISTR_BN.started","img_bn_right.started","img_bn_left.started","ISTR_BN.stopped","ISTR_HN.started","img_hn_right.started","img_hn_left.started","ISTR_HN.stopped","ISTR_AROUSAL.started","ISTR_AROUSAL.stopped","EVALUATION.started","evaluation_l_img.started","evaluation_r_img.started","evaluation_kb.started","evaluation_wav.started","EVALUATION.stopped","evaluation_kb.keys","evaluation_kb.rt","evaluation_kb.duration","ISTR_VALENCE.started","ISTR_VALENCE.stopped","END.started","END.stopped","participant","session","practice","setting","date","expName","psychopyVersion","frameRate","expStart","X"
"images/NF.png","images/NM.png","","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.858764487,NA,0.0113840120000077,0.0121568729998671,0.0137028609999561,17.8672013379999,17.8672527159999,21.4084658699999,51.8351197099998,107.466600336,-4.6,4.6,107.647878522,120.932523136,120.933524906,166.817145118,166.829832112,169.852106935,169.852127176,169.904716641,169.904716641,169.904716641,199.90776646,199.90776646,199.90776646,199.900509471,"['l', 'j']","[2.6645199839999805, 28.64537324700018]","[None, None]",199.901258194,201.893913185,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1,1,1,1,"2024-01-18_11h34.09.566","VR_setting","2023.2.3",NA,"2024-01-18 11h34.20.546445 +0100",NA
"images/NM.png","images/NF.png","","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201.902663508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201.894326124,204.89287972,204.892901197,204.93230127,204.93230127,204.93230127,234.924481239,234.924481239,234.924481239,234.917969157,"['j', 'k', 'j']","[2.3078021230001013, 16.11828541, 22.749344083000096]","[None, None, None]",234.918420699,236.917660522,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1,1,1,1,"2024-01-18_11h34.09.566","VR_setting","2023.2.3",NA,"2024-01-18 11h34.20.546445 +0100",NA
"images/NF.png","images/NM.png","","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236.924966631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236.918010215,239.916629664,239.916649501,239.936931695,239.936931695,239.936931695,269.937258086,269.937258086,269.937258086,269.92556301,"['l', 'k', 'l', 'j', 'l', 'j']","[1.8207796690001032, 13.146782147000067, 16.28014002200007, 21.787626802999966, 23.138892084999952, 27.159331289999955]","[None, None, None, None, None, None]",269.926011326,271.925102316,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1,1,1,1,"2024-01-18_11h34.09.566","VR_setting","2023.2.3",NA,"2024-01-18 11h34.20.546445 +0100",NA
"images/NM.png","images/NF.png","","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271.932518338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271.925548867,274.924034338,274.924059591,274.968885063,274.968885063,274.968885063,304.965552324,304.965552324,304.965552324,304.956126286,"['j', 'k', 'l', 'j', 'l', 'k', 'j', 'l']","[1.8568636699999388, 7.7683547980000185, 12.97740594700008, 14.23567987599995, 19.741074314000116, 22.17662148599993, 25.514395041999933, 28.429893167000046]","[None, None, None, None, None, None, None, None]",304.956563533,306.949097368,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1,1,1,1,"2024-01-18_11h34.09.566","VR_setting","2023.2.3",NA,"2024-01-18 11h34.20.546445 +0100",NA
"","","audio/tri_5Hz_-6dBFS_31s.wav","high",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,317.221962797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,306.949264559,306.957556887,312.66387947,"n",5.69361370599995,"None",312.665225913,315.862925773,317.112638565,317.178360045667,327.18156114,327.209923542,327.20994548,327.215590166,329.293906723,329.199714885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1,1,1,1,"2024-01-18_11h34.09.566","VR_setting","2023.2.3",NA,"2024-01-18 11h34.20.546445 +0100",NA
"","","audio/tri_5Hz_-6dBFS_31s.wav","medium",0.55,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,329.293906723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,"",NA,"",NA,NA,329.200046477,329.24874151,339.24428725,339.280307756,339.280335141,339.289592111,341.369449541,341.278699153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1,1,1,1,"2024-01-18_11h34.09.566","VR_setting","2023.2.3",NA,"2024-01-18 11h34.20.546445 +0100",NA
"","","audio/tri_5Hz_-6dBFS_31s.wav","low",0.1,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341.369449541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,"",NA,"",NA,NA,341.279038743,341.327732314,351.32942711,351.352850506,351.352872197,351.369586901,353.360482405,353.352807502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1,1,1,1,"2024-01-18_11h34.09.566","VR_setting","2023.2.3",NA,"2024-01-18 11h34.20.546445 +0100",NA
"","","","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372.410683493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,353.352918229,372.180914311,372.357229347,372.412702016333,382.411214916,391.616286554,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1,1,1,1,"2024-01-18_11h34.09.566","VR_setting","2023.2.3",NA,"2024-01-18 11h34.20.546445 +0100",NA
"","","audio/white.wav.wav","",NA,"images/MAM11BFI.png","images/MAM11NES.png",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,424.321696127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,424.314108334,427.305453688,NA,NA,NA,NA,NA,NA,NA,NA,"","","",459.692091392,461.685227897,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391.61639563,401.299545973,402.419247136,423.576988994,427.305473785,429.698296243,429.698296243,429.698296243,429.637912354333,459.69843514,459.69843514,459.69843514,459.691440497,"['l']","[1.8522371859999112]","[None]",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1,1,1,1,"2024-01-18_11h34.09.566","VR_setting","2023.2.3",NA,"2024-01-18 11h34.20.546445 +0100",NA
"","","audio/tri_5Hz_-6dBFS_31s.wav","",NA,"images/MAM11NES.png","images/MAM11BFI.png",1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,461.694652759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,461.685616364,464.678668082,NA,NA,NA,NA,NA,NA,NA,NA,"","","",494.815457929,496.813841032,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,464.678689674,464.823563607,464.823563607,464.823563607,464.777766802,494.821315957,494.821315957,494.821315957,494.815073537,"['k', 'l', 'j', 'k', 'j', 'l', 'k']","[1.6251032240002132, 9.105313732000013, 12.14765272600016, 13.599717370000235, 17.649752456999977, 20.376093787000173, 22.605747418000192]","[None, None, None, None, None, None, None]",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1,1,1,1,"2024-01-18_11h34.09.566","VR_setting","2023.2.3",NA,"2024-01-18 11h34.20.546445 +0100",NA
"","","audio/tri_5Hz_-6dBFS_31s.wav","",NA,"images/MAM11BFI.png","images/MAM11NES.png",1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,496.827705775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,496.814453632,499.813755867,NA,NA,NA,NA,NA,NA,NA,NA,"","","",529.922058284,531.921679244,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,499.813780927,499.92290163,499.92290163,499.92290163,499.879692805667,529.938316581,529.938316581,529.938316581,529.921678739,"['l', 'k', 'l']","[1.4972224809998806, 23.9451101679997, 27.654288811999777]","[None, None, None]",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1,1,1,1,"2024-01-18_11h34.09.566","VR_setting","2023.2.3",NA,"2024-01-18 11h34.20.546445 +0100",NA
"","","audio/white.wav.wav","",NA,"images/MAM11NES.png","images/MAM11BFI.png",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,531.928588526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,531.922089202,534.921066534,NA,NA,NA,NA,NA,NA,NA,NA,"","","",564.984029349,566.978967243,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,534.921087346,534.988434738,534.988434738,534.988434738,534.987082241667,564.991772331,564.991772331,564.991772331,564.983560677,"['k', 'l', 'k', 'j', 'l', 'k']","[1.393040302999907, 9.66300063000017, 12.952421544000117, 18.716789319000327, 20.43115481399991, 23.95783970699995]","[None, None, None, None, None, None]",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1,1,1,1,"2024-01-18_11h34.09.566","VR_setting","2023.2.3",NA,"2024-01-18 11h34.20.546445 +0100",NA
